tipo,nombre
CARREM,ORERIA
CALLEO,ÑATE GIL
CARRER,AJOLAR
CARREP,ALAU
CARREL,ES PARRES
CARREL,A PAU
PLAÇAE,L POU
CARRER,AMON Y CAJAL
CARREL,A RAPA
AVGDAR,EI EN JAUME
CARRES,ANT VICENT
CARRET,RINQUET
AVGDAS,ARAGOSSA
CARREP,EIRO
PTDA V,ENTA PLATERA
PTDA A,RBOCER
PTDA H,ORTA NOVELLA
CTRA C,ASTELLO-SANT MATEU
PTDA M,ASIA LINARES
PTDA V,ALL D'UMBRI
CARRES,ANCHIS GUARNER
PTDA L,A VALL
CARREB,OTALARIA
CARREX,IMEN PEREZ D'ARENOS
CALLEE,L PI-VALL D'UMBRI
CARREO,LIVERA
PTDA L,'AZUT
PTDA C,AMP(EL)
CAMI C,AMI DE LES PISCINES
CARREH,ORTA NOVELLA
CARREP,ALMAR
CALLEA,LBATROS-LA COMA
AVDA C,ARLOS FABRA CARRERAS-LA COMA
AVDA M,EDITERRANEO-LA COMA
CALLER,OMERAL-LA COMA
CARREL,LEVANT
CALLET,RAMONTANA-LA COMA
CARRES,ERVERA
CALLEA,LMENDROS(CUESTA DE LOS PINOS)
CALLEC,ASTAÑO(CUESTA DE LOS PINOS)
URB  L,OMAS-MALLOLS
PTDA P,LA DEL MORO
CALLEP,INOS(CUESTA DE LOS PINOS)
CALLER,OBLES(CUESTA DE LOS PINOS)
CALLEA,LCORA (L')-L'ABELLER
CALLEB,ALADRE-L'ABELLER
CALLEB,ARRANC (EL)-L'ABELLER
CTRA C,-232(CTRA.MORELLA)
CAMI D,EL MUT-L'ABELLER
CAMI L,'ABELLER-L'ABELLER
CARREA,RBOCER
CALLES,ABORIJA
CALLEE,NMIG-L'ABELLER
CALLEI,LLA (L')-L'ABELLER
CALLEP,EDRERA (LA)-L'ABELLER
PLAÇAP,INA (LA)-L'ABELLER
CALLEP,OLIESPORTIU-L'ABELLER
CALLEP,UJADA(LA)-L'ABELLER
CALLEU,NIO (LA)-L'ABELLER
CALLEV,ALENCIA-L'ABELLER
CALLEA,CACIAS (LAS)-ALCORMAR
CALLEA,FANIAS-AFANIAS
CUSTAA,FANIAS-AFANIAS
CALLEC,UESTA ALGIBE-ALCORMAR
CALLEJ,ACARANDAS (LAS)-ALCORMAR
CARREC,ODONYERS
CALLEP,INOS (LOS)-ALCORMAR
CARREL,LIMERES
CALLEB,-BENADRESA
CALLEC,-BENADRESA
CALLED,-BENADRESA
CARREA,LMASSORA
CARREA,RGILAGA
CARREC,OSCOLL
AVDA L,OS PINOS-VALL D'UMBRI
CALLEP,INOS-VALL D'UMBRI
URB  T,OMILLAR (EL)
URB  M,ASIA GAETA
URB  V,ALL D'UMBRI-2
CARREC,AMI TERRA ROJA
CARRES,ANT ANTONI
PTDA C,HOQUERA DEL PANTANO (LA)
CALLEC,OVA DE LES FERRERIES
CALLEA,-MASIA GAETA
CALLEE,-MASIA GAETA
CALLEF,-MASIA GAETA
CALLEG,-MASIA GAETA
CALLEH,-MASIA GAETA
CALLEI,-MASIA GAETA
CALLEB,-MASIA GAETA
CALLEC,-MASIA GAETA
CALLED,-MASIA GAETA
CALLEN,ARANJOS (LOS)
CALLEA,-BENADRESA
CALLEE,-BENADRESA
CTRA A,LCORA
URB  C,ASES DE LA CUCALA
CALLET,IMONET (EL)
CALLEB,OSQUE (DEL)
CARRED,EL MOLI
PLAÇAM,ESO DEL CORDER
AVGDAD,E L'ESPIGOL
CARRED,E LA ROMAGUERA
CARRED,EL LLEDONER
CARRED,EL GINJOLER
CARRED,E L'ALFABEGA
CARRED,EL LLORER
CARRED,E L'ARGELAGA
CARRED,ELS XOPS
CARRED,E LA PALMERA
CARRED,E LA FIGUERA
CARRED,ELS ROSERS
CARRED,E L'HERBA-SANA
AVGDAD,ELS XIPRERS
AVGDAD,ELS CAMPS
AVGDAD,ELS OMS
CARRED,ELS ESPORTS
CARRED,'ONDA
CARRED,E MARIA CRISTINA
CARRED,E SANT JOAN DE MORO
CARRED,E LA VEREDA REIAL
CARRED,E LA MAR
CARRED,E LA SALVIA
CARRED,E LA CARRASCA
CARRED,EL GINEBRE
CARREP,RUNERA
CAMI J,OQUERA (LA)
PTDA P,ALMAR(EL)
URB  B,ENADRESA
CARREM,ESTRAL
PTDA R,OCHALET
PTDA R,ACA
PTDA G,ASULL
CAMI B,OROM-PTDA.LA VALL
CMNO S,AN VICENTE
CARREE,SBARZER
CARREM,ARGALLO
CARREF,ENOLL
CARREB,RUC
AVDA C,AMI VELL
CARREC,OMINELLS
PTDA S,ARGAR
CARREA,SSEGADOR
CALLEN,EPTUNO
CALLEA,NDROMEDA
PTDA C,ORRAL BLANC
CALLEV,IA LACTEA
PTDA S,AN VICENTE
CARREP,INTOR SOROLLA
PTDA B,USTAL
CALLEO,SA MAYOR
PTDA M,ORICO
PTDA T,OSSAL ROIG
CARRES,ANT BARTOMEU
CARRES,ANT ROC
CARREC,ERVANTES
CARREC,OLUMBRETES
CARREM,AESTRAT
CALLEV,ENUS
PTDA E,RMITA
PTDA B,ENADRESA
PTDA M,AS DE CHAUME
AVDA D,EL GOLF
PTDA B,ENIFAET
CARREM,OLINAS
CARREC,ONSTITUCIO
CALLEL,AS DELICIAS
PTDA S,IERRA (LA)
PTDA L,ES MINES
CARRER,AFAEL LLORET
PTDA M,ALLOLS
PTDA L,ES ERMITES
URB  M,AS DE CLARA-2
CALLEJ,UPITER
CALLEH,EURA (L')
CARREH,ENRI BOUCHE
CARREF,RONTO (DEL)
CARREV,ISTABELLA DEL MAESTRAT
CALLEU,RANO
CARREA,LACANT
CARREV,ILA-REAL
PLAZAT,ORRE (LA)
PTDA M,UELA (LA)/ MOLA (LA)
CARREF,ORNETS
CALLEA,LEMANIA
CALLEI,TALIA
CARREP,AISOS BAIXOS
CALLED,INAMARCA
CALLEA,USTRIA
CALLEP,ORTUGAL
URB  L,A PERDIZ
PTDA S,ORDO
PTDA P,ERDIGUER
CARREC,IRERER
CAMI D,E TERRA ROJA
CAMPAC,LUB DE CAMPO DEL MEDITERRANEO
PLAZAD,EL SOL
PTDA A,BELECHAR
CALLEE,STRELLA POLAR
PTDA C,OVA NEGRA
PTDA L,A FLOTA
PTDA A,LBAROC
CARREH,OSPITAL
PTDA P,EREROLA
PTDA C,OVA
PTDA B,ARRANC OLARIA
CARREP,EDRAPIQUERS
CARREP,EDRA DE BORRIOL
CARREB,ANCAL
CARREP,AREDADORS
CARREB,UIXARDAT
CARREB,ARRINADA
CARREP,ERPAL
CARREE,SCARPE
CARREL,A COSTERA
CAMI C,ODINA
CARREB,"ARRANQUET, DEL"
CARREC,"OMUNITAT DE REGANTS, DE LA"
CARREC,"REU DE SANT JOAN, DE LA"
CARRER,"AVAL, DEL"
CARREE,"SCORREDOR, DE L'"
CARREM,AJOR
PLAÇAM,AJOR
CARREM,"ARÍ, DE"
CARREN,OU
PLAÇAP,"LA, EL"
PLAÇAP,"LACETES, DE LES"
PLAÇAP,"LA DE SANT BLAI, EL"
RACO R,ACO DE L'ABADIA
CARRES,"ANT AGUSTÍ, DE"
CARRES,"ANT CRISTÒFOL, DE"
CARRES,"ANT JAUME, DE"
CARRES,"ANT JOAN, DE"
PLAÇAT,"REMEDAL, DEL"
CARRET,"REMEDAL, DEL"
CARRES,"ARAGOSSA, DE"
CARREA,"BEL MUS, D'"
CARREA,"RTUR PERUCHO I BADIA, D'"
CARREA,"USIÀS MARCH, D'"
CARREB,"EATA MARIANA, DE LA"
CARREB,"EAT RIPOLLÉS, DEL"
AVGDAC,"ORTS VALENCIANES, DE LES"
CARREF,"URS, DELS"
CARREF,"RANCESC ROCA I ALCAIDE, DE"
CARREJ,"UAN BAUTISTA TEJEDO BELTRÁN, DE"
CARREC,"ARRERA, LA"
PLAÇAM,"ERCÈ, DE LA"
POLIGP,OLIGON 7
CARRET,"ANDA, DE LA"
CARREM,"AESTRAT, DEL"
CARRES,"ANT FELIP, DE"
CARRES,"ANT PERE PASQUAL, DE"
POLIGP,OLÍGON 53
CARRES,"ANT SERAPI, DE"
CARRES,"ANTA CECÍLIA, DE"
CARRES,"ERVES DE JESÚS, DE LES"
CARREG,"UILLEM DE VINATEA, DE"
CARREC,"RISTÒFOL COLOM, DE"
PLAÇAG,"ENERALITAT VALENCIANA, DE LA"
AVGDAJ,"AIME CHICHARRO, DE"
CARREJ,"ARDÍ, DEL"
PLAÇAJ,"OSÉ ITURBI, DE"
CARRES,"ANT CARLES, DE"
CARRES,"ANT VICTORIÀ, DE"
PLAÇAR,"AFAEL MARTÍ DE VICIANA, DE"
CARREM,"ARE DE DÉU DELS ÀNGELS, DE LA"
CARREM,"ARE DE DÉU DELS DOLORS, DE LA"
CARREM,"ARE DE DÉU DE LOURDES, DE LA"
CARREB,"ARÓ, DEL"
CARREC,"OMERÇ, DEL"
CRO  S,"ANT BLAI, DE"
AVGDAS,"ETZE DE JULIOL, DEL"
BARRIF,ORN DE LA CALÇ
AVGDAJ,"UAN BAUTISTA SANMARTÍN, DE"
CARREC,"ALVARI, DEL"
CARRET,"ARONGER, DEL"
CARRES,"ANT ISIDRE, DE"
CARRES,"ANT LLORENÇ, DE"
CARRES,"ANT TOMÀS, DE"
CARREM,"ARE DE DÉU D'AGOSTO, DE LA"
CARREM,"ARIA ROSA MOLAS, DE"
CARREM,"ARE DE DÉU DE LA MERCÈ, DE LA"
CARREM,ARE DE DÉU MISERICÒRDIA
CARREA,"IGUA, DE L'"
AVGDAC,AMI D'ONDA
CARREF,"RARES, DELS"
CARRED,"IVINA PASTORA, DE LA"
CARREE,"NCARNACIÓ, DE L'"
CARREF,"ORN DE LA VILA, DEL"
PLAÇAN,"OU D'OCTUBRE, DEL"
CARREP,"URÍSSIMA, DE LA"
CARRES,"ALVADOR, DEL"
CARRES,"ANT JOSEP, DE"
CARRES,"ANT JOAN DE LA CREU, DE"
CARRES,"ANT MIQUEL, DE"
CARRES,"ANT VICENT, DE"
CARRES,"ANT XUTXIM, DE"
CARREV,"ICENTE FORNER TICHELL, DE"
CARREM,"ARE DE DÉU DEL ROSER, DE LA"
AVGDAA,"LMASSORA, D'"
CARREB,"ON SUCCÉS, DEL"
CARREG,"ABRIEL MIRÓ, DE"
PLAÇAF,"IRA, DE LA"
CARRES,"ANG, DE LA"
PLAÇAM,"ARE DE DÉU DE LORETO, DE LA"
POLIGP,OLÍGON 21
PLCETP,"ALAU, DEL"
RONDAP,"OETA JOSÉ CALZADA, DEL"
CARRES,"ANT XAVIER, DE"
PTDA A,LQUERIES FERRER
CARRES,"ANT PASQUAL, DE"
PLAÇAS,"ANT PERE, DE"
RACO S,"ANT ROC, DE"
CARRES,"ANT SILVESTRE, DE"
CARRES,"ANTA TERESA, DE"
AVGDAV,"ILA-REAL, DE"
CARREM,"ARE DE DÉU DEL CARMEN, DE LA"
CARREM,"ARE DE DÉU DEL PILAR, DE LA"
CARRET,"RINITAT, DE LA"
CARREB,ERNAT GUILLEM D'ENTENÇA
CARREG,"ERMANIES, DE LES"
CARREI,"NDÚSTRIA, DE LA"
RONDAM,"ÚSIC IBÁÑEZ, DEL"
CARRES,"ANT ENRIC, DE"
CARRES,"ANTA FILOMENA, DE"
CARRES,"ANTA ROSA DE LIMA, DE"
CARRES,"ANT DOMÈNEC, DE"
CARREV,"ELÒDROM, DEL"
CARREM,"ARE DE DÉU DE LA SALETA, DE LA"
CARREJ,"OSÉ ZORRILLA, DE"
CARREJ,"UAN BAUTISTA SOLER MARTÍ, DE"
CARREH,"ORTOLANS, D'"
CARREM,"ESTRE SERRANO, DEL"
CARREM,"ARIA AUXILIADORA, DE"
CARRER,"EPÚBLICA ARGENTINA, DE LA"
PASEOS,"ANT JOAN BOSCO, DE"
CARRES,"ANT DOMÈNEC SAVIO, DE"
CARREV,"INT-I-CINC D'ABRIL, DEL"
CARREV,"ICENTE MARCO MIRANDA, DE"
CARREA,"RBRETS, DELS"
CARREB,ISBE LLUIS PÉREZ
CARREJ,"OSÉ CANALEJAS, DE"
CARREC,"OVA SANTA, DE LA"
CARREE,"CCE HOMO, DE L'"
CARREL,"LAURANÇA, DE LA"
CARREP,"ABLO IGLESIAS, DE"
RONDAP,"ERE IV, DE"
CARRES,"ANT BRU, DE"
CARRES,"ANT LLUÍS, DE"
CARRES,"ANT MARC, DE"
CARRES,"ANT TEODOR, DE"
CARRES,"ANTA ANNA, DE"
CARRES,"ANTA BÀRBARA, DE"
CARRES,"ANTA IRENE, DE"
CARREV,"ÍCTOR MARÍN PUIG, DE"
CARREM,"ARE DE DÉU DE LA CABEZA, DE LA"
CARRET,"REBALL, DEL"
CARREA,"LMESIES, DE LES"
CARREÀ,"NGEL DE LA GUARDA, DE L'"
CARREF,"ANZARA, DE"
CARREG,"OYA, DE"
CARREF,"RANCISCO PIZARRO, DE"
CARRES,"ANTA CRISTINA, DE"
CARREM,"ARE DE DÉU DE LA PALOMA, DE LA"
CARREA,"VE MARIA, DE L'"
CARREB,"URGÀ, DE"
CARREF,RANCISCO FUENTES
CARREB,"OSCA, DE LA"
PLAÇAM,"ONGES, DE LES"
CARREL,"OPE DE VEGA, DE"
CARREM,"ALLORCA, DE"
AVGDAN,"ULES, DE"
CARREN,"UÑEZ DE ARCE, DE"
RONDAP,"ANDEROLA, DE LA"
CARRET,"EODOR LLORENTE, DE"
CARREP,"ROGRÉS, DEL"
CARRES,"ANT GAETÀ, DE"
CARRES,"ANT FÈLIX, DE"
CARRES,"ANTA HELENA, DE"
CARREL,"EONARDO TORRES DE QUEVEDO, DE"
CARREV,"ALÈNCIA, DE"
CARRES,"OLEDAT, DE LA"
CARREA,"LCALDE VICENTE ESCOBAR, DE L'"
CARREA,MPLE
CAMI L,"LOMBAI, DE"
CAMI E,"CCE-HOMO, CAMI (PLAYA)"
CARREC,"APITÀ CORTÉS, DEL"
CARREF,"INELLO, DEL"
AVGDAJ,AUME I
CARREE,"RES, DE LES"
AVGDAL,"LOMBAI, DE"
CARREM,"ONCOFA, DE"
CARRES,"ANT ROBERT, DE"
CARRES,ANTA BERTA
CARREV,"ALL D'UIXÓ, DE LA"
CARREM,"ARE DE DÉU DE LES NEUS, DE LA"
CARRER,"UBÉN DARÍO, DE"
CARRES,"ANTA GEMMA GALGANI, DE"
CARRES,"ANTA MATILDE, DE"
CARREC,"ARDENAL CISNEROS, DEL"
CARREC,"ID, DEL"
CARREG,"ALLERA, DE LA"
CARREM,"ARCELINO MENÉNDEZ Y PELAYO, DE"
CARREP,"ERE CORNELL, DE"
CARREJ,"OAQUIM SOROLLA, DE"
CARREV,"ICENTE CANTOS FIGUEROLA, DE"
AVGDAC,AMÍ D'ARTANA
CARREL,"LEIALTAT, DE LA"
CARREP,"EU DE LA CREU, DEL"
CARREF,"RANCESC RIBALTA, DE"
CARRES,"ALVADOR GINER, DE"
CARRES,"ANT ANDREU, DE"
CARRES,"ANT GERMÀ, DE"
CARRES,"ANT LEANDRE, DE"
CARRES,"ANTA ELVIRA, DE"
CARREV,"ICENT ANDRÉS ESTELLÉS, DE"
CARREV,"INARALLS, DE"
CARREM,ARE DÉU XIQUET PERDUT
CARREA,"LCALDE VICENTE MOLINER, DE L'"
CARREB,"ENITO PÉREZ GALDÓS, DE"
PLAÇAE,"STACIONETA, DE L'"
CARREG,"ENERAL PRIM, DEL"
CARREJ,"OAQUÍN PERIS FUENTES, DE"
CARREJ,"OAN D'ÀUSTRIA, DE"
CARREM,"ANUEL PERIS FUENTES, DE"
CARREM,"ARIANO BENLLIURE, DE"
CARRER,"AMON CAMPOS, DE"
CARREV,"ELÁZQUEZ, DE"
CARREV,"ICENTE SALES MUSOLES, DE"
CARREC,"ALDERÓN DE LA BARCA, DE"
CARREE,"SPORT, DE L'"
CARRED,"OCTOR FERRAN, DEL"
CARREE,"SPERANÇA, DE L'"
CARREG,UITARRISTA TARREGA
CARREM,"ANUEL BECERRA, DE"
CARREP,"IUS XII, DE"
CARREP,"RIMER DE MAIG, DEL"
POLIGP,OLÍGON 25
CARRES,"ANT ERNEST, DE"
CARRES,"ANT GUILLEM, DE"
CARRES,"EVERO OCHOA, DE"
CARREA,"LBACETE, D'"
CARREA,"LACANT, D'"
CARREC,ARDENAL BENLLOCH
CARRED,"OCTOR FLEMING, DEL"
CARREJ,"ACINTO BENAVENTE, DE"
CARREM,"ANUEL DE FALLA, DE"
PLAÇAM,"ANUEL SANCHÍS GUARNER, DE"
CARREM,"OSSÈN ELIAS MILIAN, DE"
CARREO,"VIEDO, D'"
CARREP,"ARE VILALLONGA, DEL"
CARRES,"ANT MARTÍ DE PORRES, DE"
CARREM,"ARE DE DÉU DE MONTSERRAT, DE"
CAMI F,ONDO (PLAYA)
CARREC,"ONSOLAT DE MAR, DEL"
CARREA,"NDREA DORIA, D'"
CARREG,"ARBÍ, DEL"
CARREG,RAVINA
CARREG,"REGAL, DEL"
CARREI,"LLES BALEARS, DE LES"
CARREI,"LLES COLUMBRETES, DE LES"
CARREI,"SAAC PERAL, D'"
CARREJ,"UAN SEBASTIÁN ELKANO, DE"
CARREF,"AROLA, DE LA"
CARRET,"ERRASSES, DE LES"
CARREA,"LGUER, L'"
PLAÇAE,"STANY COLOMBRÍ, DE L'"
CARREM,"ALVA-ROSA, DE LA"
AVGDAM,"EDITERRÀNIA, DE LA"
CARREM,"IGJORN, DEL"
CARREP,"ONENT, DEL"
CARRER,"OSA DELS VENTS, DE LA"
CARRES,"ANT LLUC, DE"
CARRES,"ANT VALENTÍ, DE"
CAMI S,ERRATELLA
CARREV,"ILLAAMIL, DE"
CARREM,"ARE DE DÉU DEL ROCIO, DE LA"
CARRET,"RAMUNTANA, DE LA"
CARREM,"ITJA GALTA, DE LA"
CARRET,"ARANCON, DE"
CARRES,"ANT BLAI, DE"
CAMI C,"OSSA, DE LA"
CAMI S,ANTA PAU
CARREC,"OR DE JESÚS, DEL"
PLAÇAJ,"ARDÍ DEL BES, DEL"
BARRIH,"EREU, L'"
GRUP U,RBANIZACION BRANCHADELL
CARRES,"ANT ROC, DE"
CARREV,"ICENTE BLASCO IBÁÑEZ, DE"
CAMI B,ASSA SANGONERES
CAMI T,"ANCADES, DE LES"
CAMI P,"EDRERA, DE LA"
CARREA,"LBERT EINSTEIN, D'"
CARREA,"ÍN, D'"
CARREA,"LCÚDIA DE VEO, L'"
CARREA,"LMENARA, D'"
CARREA,"LQUERIES, DE LES"
CARREW,"OLFGANG AMADEUS MOZART, DE"
CARREA,"NTONI GAUDÍ, D'"
CARREA,"NTONIO LUQUE VICENS, D'"
CARREA,"TLÀNTIC, DE L'"
CARREB,"ARQUES, DE LES"
CARREB,ELLAVISTA
CARREB,"ENET XIII, DE"
CARREB,"ENICARLÓ, DE"
CARREB,"ERNAT ARTOLA, DE"
CARREB,"ETXÍ, DE"
CARREC,"ANTABRIC, DEL"
CAMI C,"OIXA, DE LA"
AVGDAC,"ONSTITUCIÓ, DE LA"
CARREC,"ULLERA, DE"
CARREE,"IVISSA, D'"
CARREE,"NRIC GRANADOS, D'"
CARREE,"NRIQUE TIERNO GALVÁN, D'"
CARREE,"RMITA DE JUAN GRANELL, DE L'"
CARREE,"SCULLERA DE PONENT, DE L'"
CARREE,"SLIDA, D'"
PLAÇAE,"STACIÓ DEL NORD, DE L'"
CARREE,"STANY LLARGUER, DE L'"
CARREE,"UROPA, D'"
CARREF,"EDERICO GARCÍA LORCA, DE"
CARREF,"ONDEGUILLA, DE"
CARREF,"ORMENTERA, DE"
CARREG,"ALILEU GALILEI, DE"
CARREG,"ANDIA, DE"
CARREG,"IRONA, DE"
CARREH,"OLANDA, D'"
CARREI,"SAAC ALBÉNIZ, D'"
CARREJ,"AIME CHICHARRO, DE"
CARREJ,"AUME ROIG, DE"
CARREJ,"ERONI GUITARD, DE"
CARREJ,"OAN MIRÓ, DE"
CARREJ,"OAN XXIII, DE"
CARREJ,"OANOT MARTORELL, DE"
CARREJ,"UAN BAUTISTA ROCHERA MINGARRO, DE"
CARREJ,"OHANN SEBASTIAN BACH, DE"
CARREJ,"UANITO VAREA, DE"
CARREJ,ULES VERNE
CARREL,"EONARDO DA VINCI, DE"
CARREL,"LEIDA, DE"
CARREL,"LOSA DE LA PLANA, DE LA"
CARREL,"LUÍS VIVES, DE"
CARREL,"LUM, DE LA"
CARREM,"ANUEL CUBEDO I GINER, DE"
CAMI M,"ARGE, DEL"
CARREM,ARINERS
CARREM,"IGUEL HERNÁNDEZ, DE"
CARREM,"IQUEL ÀNGEL, DE"
CARREM,"OTA, DE LA"
CARREO,"LIVERES, DE LES"
CARREO,"RPESA, D'"
CARREP,"ABLO RUIZ PICASSO, DE"
CARREP,"AU CASALS, DE"
CARREP,"ENÍSCOLA, DE"
CARREP,"ESCADORS, DELS"
CARREJ,"OSEP POLO DE BERNABÉ, DE"
CARRER,"AJOLÍ, DEL"
CAMI R,"ATLLA, DE LA"
CARRER,"EI JOAN CARLES I, DE"
CARRER,"IBESALBES, DE"
CARRER,"IU MILLARS, DEL"
PTDA A,LQUERIAS SANTA BARBARA
CARRES,"ÉNIA DE BERLÚS, DE LA"
CARRES,"UERA, DE"
CARRET,"ALES, DE"
CARRET,"HOMAS ALVA EDISON, DE"
SENDAT,"ORRE D'ONDA, DE LA"
CARRET,"ORTOSA, DE"
CARREV,"INARÒS, DE"
CAMI M,AS QUEMADO
CAMI S,ERRA
GRUP R,OGER DE FLOR
CAMI P,ANYET DE PESTELLET
PTDA M,"OLI, EL"
CAMI R,ATLLA DE NULES
AVGDAC,AMI D'ONDA (DISEMINADO)
CAMI A,GUAS POTABLES
CTRA N,"ULES, DE"
CAMI Q,UARS
CAMI S,UBASTERO
CAMI T,OROS
CAMI B,AIX
CARREA,"MISTAT, DE L'"
CARREJ,UAN LUGO
CARREF,EDERICO GARCÍA MOLINER
CARREA,"SSUMPTA GONZÁLEZ CUBERTORER, D'"
CARRET,RAV. ESCOLLERA DE PONENT
CAMI A,CEQUIA VINARALS
CTRA A,LMASSORA
CAMI C,AMINAS
CAMI C,ANTERA VORA RIU
CAMI C,HAVARRIA
CAMI G,RANDONA
CAMI H,UITE
CAMI M,"AR DE VILLARREAL, LA"
CAMI M,ARJALET
CAMI M,IRALLES
CAMI M,"ONGES, LES"
CARREB,ORRIOL
CAMI N,OVENES
CAMI P,"ALMERAL, EL"
PTDA B,"OTA, LA"
PTDA T,URRUCLES
CAMI P,EDRA BLAVA
AVGDAM,UELLE DE LA COSTA
CAMI S,ALINES
CAMI S,EDRE
CAMI U,"LLAL, L'"
CAMI X,AMUSSA
CAMI X,"URROS, ELS"
CARRET,RAVESIA SUERAS Y TALES
PLAÇAF,"RANCISCO TOMÁS Y VALIENTE, DE"
CAMI C,ABEÇOL
CARREB,"ENICÀSSIM, DE"
CARREM,"ERCEDES DAUDÍ SALES, DE"
CAMI C,"ALBS, ELS"
CARREC,"OSTUR, DE"
CAMI B,"ALLESTER, DE"
CAMI F,ANDOS
CARREP,"OLIDEPORTIVO, DEL"
PTDA C,ALAMÓ
CARREC,"ARABONA, DE"
CARRET,"IRANT LO BLANC, DE"
MUELLC,"LUB NAUTICO, EMBARCACION"
CTRA V,IVER
CARREV,"IETA, DE LA"
AVGDAC,"ARDENAL VICENT ENRIQUE I TARANCÓN, DEL"
CARREI,"LLA DE TABARCA, DE L'"
CARREM,"ARE TERESA DE CALCUTA, DE LA"
CARRER,"AFAEL ALBERTI, DE"
CARREG,"ERARDO DIEGO, DE"
CARREP,"EDRO SALINAS, DE"
CARREJ,"ORGE GUILLÉN, DE"
CARREG,"ENERACIÓ DEL 27, DE LA"
CARREM,"OSSÈN VICENT MUSSOLES, DE"
CARREF,"RA TERENCIO HUGUET, DE"
AVGDAV,"ICENTE CAÑADA BLANCH, DE"
CARREM,"ESTRE VICENT ASENSIO, DEL"
CARREM,"ATILDE SALVADOR, DE"
CARREL,"UCRECIA BORI, DE"
CARREM,"ESTRE RODRIGO, DEL"
CAMI F,ONDO
CARREA,NDEN
AVGDAT,"RANSPORT, DEL"
CAMI C,AMINO VALENCIA (DISEMINADO)
CAMI A,"RTANA, D'"
CAMI S,ANT GREGORI
CARREP,"AU, LA"
CARREP,APERERA VELLA
CARREL,"UXEMBURG, DE"
CARREB,"ÈLGICA, DE"
CARREB,"ITÀCOLA, DE LA"
CAMI P,OU DE PALOMERO
CARRER,"OBERTO ROSELLÓ GASCH, DE"
PLAÇAQ,"UARTS DE CALATRAVA, DELS"
CARREC,"ARLOS ROMERO VERNIA, EL LIANTE"
CARREM,AGALHAES
CARREB,"EGÍS, DE"
PTDA C,AMPA
CARREX,"ILXES, DE"
CARREO,"SCA, D'"
CARREJ,"AMES A. MICHENER, DE"
CARREJ,"UAN REUS PARRA, DE"
CARREM,"ALTA, DE"
PLAÇAM,ARINERS
CARREM,"OSSÈN LUIS ROCA, DE"
CARREV,"ICENTE RÍOS ENRIQUE, DE"
CARREX,"IPRE, DE"
PTDA E,CCE-HOMO
CAMI E,RMITA DE LA MISERICORDIA
TRVA N,ULES TRAVESIA
CARREM,"ARINA, DE LA"
CARREG,RAU (PLAYA)
PTDA H,ORTOLANS
CARREI,LLA DE HIERRO
CARREI,LLA DEL CARALLOT
CARREI,LLA GROSSA
PTDA J,OVADA
PTDA J,UAN RODRIGO
CARRES,OLDAT JOAQUIN FANDOS MARTINEZ
CARREM,OSSEN SOL CAMI
PTDA P,ARTIDA NOVENES
SENDAR,OVELLAT
PTDA P,EDREGAR
POLIGP,OLÍGON 10
POLIGP,OLÍGON 31
POLIGP,OLÍGON 27
POLIGP,OLÍGON 23
POLIGP,OLÍGON 33
POLIGP,OLÍGON 1
POLIGP,OLÍGON 24
POLIGP,OLÍGON 37
POLIGP,OLÍGON 14
POLIGP,OLÍGON 40
POLIGP,OLÍGON 17
POLIGP,OLÍGON 43
POLIGP,OLÍGON 44
POLIGP,OLÍGON 2
POLIGP,OLIGONO 32
POLIGP,OLÍGON 34
POLIGP,OLÍGON 4
POLIGP,OLÍGON 47
POLIGP,OLÍGON 48
POLIGP,OLÍGON 51
POLIGP,OLÍGON 6
POLIGP,OLÍGON 8
POLIGP,OLÍGON 9
POLIGP,OLÍGON 11
POLIGP,OLÍGON 12
POLIGP,OLÍGON 13
POLIGP,OLIGONO 20
POLIGP,OLÍGON 22
POLIGP,OLÍGON 45
POLIGP,OLÍGON 46
POLIGP,OLÍGON 15
POLIGP,OLÍGON 16
POLIGP,OLÍGON 19
POLIGP,OLÍGON 5
POLIGP,OLÍGON 49
POLIGP,OLIGONO 50
PTDA R,EGENTA
CARRES,AN GREGORIO
PTDA S,ANT GREGORI
CARRES,"ANT GREGORI, DE"
PTDA T,IRADO
PTDA T,ORRE
PTDA U,LLAL DE GUTIERREZ
CTRA V,ILA-REAL CARRETERA
PTDA V,INARRAGELL
PTDA V,INTENS
CARREV,"ILAVELLA, DE LA"
TRVA X,IPRE
LLOC Z,ONA PORT
AVGDAU,NIÓ EUROPEA
AVGDAL,"ONDRES, DE"
AVGDAP,"ARÍS, DE"
CARRER,"IGA, DE"
CARRER,"OMA, DE"
CARREM,"ADRID, DE"
CARREB,"RUSSEL·LES, DE"
CARREN,"ICÒSIA, DE"
CARREB,"ERLÍN, DE"
CARRET,"ALLINN, DE"
CARREA,"TENES, D'"
CARREV,"ALLETTA, DE LA"
CARREV,"IENA, DE"
CARREP,"RAGA, DE"
CARREL,"ISBOA, DE"
CARRED,'ESTOCOLM
CARRED,"UBLÍN, DE"
CARREH,"ÈLSINKI, DE"
CARREH,"AIA, DE LA"
CARREM,"ENORCA, DE"
CARREE,"RNESTO FENOLLOSA MOROS, D'"
CARREV,"ICENTE ENRIQUE MINGARRO, DE"
CARREM,GRANELL FERRE
PLAÇAM,ARE NOSTRUM
CARREB,"RÚIXOLA, DE LA"
