tipo,nombre
PLAZAJ,OSE SORRIBES
CARREC,ARRERO
PLAZAN,OVA
CARRER,IU
CARRES,ECA
CARRES,EQUIETA
PRAJEM,OLINO BALSA EN MEDIO
CARREC,LOT
CARREE,SCALES DEL SECA
CALLET,RAVESSERA DEL SECA
CALLEB,ALMES
CALLEB,ARRANCO
CMNO C,ALVARIO
TRVA C,ALVARIO
CALLEC,ALVARIO ALTO
CALLEC,ALVARIO BAJO
CALLEC,ARRETERA CASTELLON
CALLEC,ASIMIR MELIA
CALLEC,ERVANTES
CALLEC,OLON
AVDA C,ONSTITUCIO (LA)
CALLEE,SPERANZA
CALLEF,ALÇA (LA)
CALLEF,ERRERIES
CALLEF,ONT (LA)
PLAZAG,ASPAR FUSTER (ARQUEBISBE DE SACER)
CALLEH,ERNAN CORTES
CALLEH,OSPITAL
CALLEH,UERTA
PLAZAI,GLESIA
AVDA J,AUME I
CALLEJ,OAN FORT
CALLEM,AGISTRAL CHILLIDA
CALLEM,AYOR
CALLEN,OU
CALLEP,ELAYO
CALLEP,IRO
PLAZAP,LA DE LA FONT
PASEOP,LANETA (LA)
PLAZAP,OU (EL)
CALLEP,ROYECTO
CALLER,EYES CATOLICOS
CALLES,AN JOSE
CALLES,AN JUAN
CALLES,AN LUIS
CALLES,AN MIGUEL
CALLES,AN PABLO
CALLES,AN PEDRO
CALLES,AN ROQUE
CALLES,AN VICENTE
CALLET,ORNES
CALLEP,ENYAGOLOSA
CALLET,RAS IGLESIA
CALLEV,ILETA
CALLEV,IRGEN PILAR
C/   8,DE MARÇ
CALLEE,N PROYECTO C
CALLEN,A VIOLANT D'HONGRIA
MASIAC,ALZADA
MASIAC,OLL DE LES CREUS
MASIAS,AN PEDRO
MASIAZ,AFRANAR
PRAJEL,A FALÇA
MASIAR,IBARROJA
PRAJEL,A CASETA DE FUSTA
MASIAB,RUSCA
MASIAB,ENAFECHINES
MASIAD,EL RIU
MASIAE,MPERAIRE
MASIAD,'EN CAMANYES
MASIAE,NSELMA
MASIAE,STORANS
MASIAL,LOMA
MASIAM,ASAETA
MASIAM,ONTEGORDO
MASIAP,OU DE NOSCA
MASIAP,OU PIQUES
MASIAR,AMBLA
MASIAR,OURERA
MASIAS,AN ANTONIO
MASIAS,AN JOANS
MASIAS,EGARRO
MASIAS,INDIC
MASIAV,ISTA ALEGRE
MASIAC,ASETES
MASIAP,ATI
MASIAB,OIX
MASIAB,ORRASCA
MASIAB,RASET
MASIAE,NIGUASE
MASIAL,LOMES
MASIAP,ARANSA
MASIAP,OSADA DEL SOL
MASIAP,OU DE RIPOLL
MASIAS,ORT
MASIAV,ILLAGARCIA
MASIAS,AN PABLO
MASIAS,ANS
MASIAV,ILLA COLUMNA
MASIAS,ANT PERE MARTIR
C/   D,E LA ERA
MASIAC,ASETA DE GRAU
MASIAD,E LA RAMBLETA
MASIAM,AS DE CAN ART
C/   D,E LES ESCOLES
PTDA C,OLLETS
CALLEL,A PAU
CALLEE,N PROYECTO E
CALLEP,URISIMA
CALLEJ,UAN BARCELO
CALLES,AN ANTONIO
CALLED,ESAMPARADOS
PLAZAI,GLESIA
PLAZAD,ON RICARDO CARDONA
CALLEA,LCALDE PUIG
PLAZAS,AN JUAN
CALLES,AN FERNANDO
CALLEP,OMA
CALLEP,ESO
CALLEM,OLINET
PLAZAJ,UAN VILANOVA
CALLES,AN ROQUE
CALLED,OCTOR EBRI
PLAZAJ,USTO ZARAGOZA
CALLES,AN MATEO
CALLEZ,ARAGOZA
CALLES,AN GREGORIO
CALLEA,LIO
CALLEV,ICENTE SEGRELLES
CALLEG,ABRIEL SOLE VILLALONGA
CALLEV,IRGEN DEL CARMEN
PLAZAS,AN RAMON
CALLEB,ARON ALCAHALI
AVDA P,ASEO HEROES DE MARRUECOS
CALLEJ,OSE ROIG
CAMI C,APICORB (DE)
CALLEG,ENERAL CUCALA
CALLEE,RAS
CALLER,ICARDO ALBALAT
CALLEV,ERACRUZ
CALLER,OSAS
CALLES,ANTA LUCIA
CALLED,OLORES
CALLES,AN MIGUEL
CALLEC,ARRASCAL
CALLEH,OYA
CALLED,OCTOR SEGUER
CALLEP,ALMA (LA)
CALLES,AN NICOLAS
CALLES,ANTA BARBARA
CTRA C,UEVAS DE VINROMA
CALLEC,OLUMBRETES
CALLES,AN JUAN
CALLEA,RCOS
CAMI V,ORA RIU SANT MIQUEL
PASEOT,OMILLO
CALLEI,BIZA
CALLES,ANTO TOMAS
CALLEN,UEVA
CALLES,AN ABDON Y SENEN
CALLEF,RANCISCO SOSPEDRA
CALLES,AN ISIDRO
CALLES,AN PEDRO
CALLES,AN PASCUAL
CALLES,AN VICENTE
CALLEV,ILLANUEVA
PLAZAF,RONTO
CALLES,AN JOSE
CALLEJ,UEGO NUEVO
CALLEP,URIFICACION
CALLEO,LMO
CALLES,AN LUIS
CALLES,AN GABRIEL
CALLET,REMEDAL
CALLEH,OSPITAL
CALLET,ODOS LOS SANTOS
PASEOO,LIVOS (LOS)
CAMI A,"TALL (L'), ZONA RIBAMAR"
CARREL,LIBERTAT (DE LA)
CARRES,ANTA LLÚCIA
CALLEV,ISTA ALEGRE
CALLEV,ISTABELLA
CALLES,AN BENITO
CALLER,OMERAL
CALLEN,A VIOLANT D'HONGRIA
CARRER,ENCH DE CAPICORB
CALLET,ORRE BADUM
CALLEA,RALAR
AVDA M,ANILA
CALLEM,INDORO
AVDA F,UENTES (LAS)
CALLEJ,AI ALAI
AVDA P,ASEO DEL CID
CALLET,AMARAO (DEL)
CARREH,ORT DEL RULL
CALLEB,ARQUERO (EL)
PASEOM,ARITIMO
PROL C,APICORB DISEMINADO
CALLEA,LCALA
CALLEA,USIAS MARCH
CARRER,ENCH
CMNO S,AN MIGUEL
CMNO V,IA FERREA
CTRA N,ACIONAL 340
PLAZAF,UENTES (LAS)
PLAZAC,ONSTITUCION
PROL A,LCOSSEBRE DISEMINADO
CAMI A,LGEPSAR
CAMI A,LMEDIXER
CARREA,METLER (L')
CAMI A,RGELAGAR
CARREA,TALAIES (DE LES)
CAMI A,RTOLA
CTRA A,LCOSSEBRE
CMNO A,NTIGUO DE ALCOCEBRE
CARREB,ALDOMET (DE)
CARREB,ASSA ESPITGES (DE LA)
CAMI B,ARRANC DE LA CARRERA
CARREB,ASSA LLONA (DE LA)
CARREB,ASSA D'AMED (DE LA)
CARREB,ASSASSA (DE LA)
